taxon_name_original,CHECK,species,famille,genre,espece,taxon_name,phytochemical_diversity_full,div_group,Aternative,comm,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Saxifraga paniculata,ok,saxifraga_?,Saxifragaceae,Saxifraga,paniculata,Saxifraga paniculata,703,bottom,,,BestMatch,9.41215,Exact,0,Saxifraga paniculata,Saxifraga paniculata Mill.,Saxifraga paniculata,6Y37B,Saxifraga paniculata Mill.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Saxifragaceae|Saxifrageae|Saxifraga|Saxifraga paniculata,
Geranium sanguineum,non,geranium_sanguineum,Geraniaceae,Geranium,sanguineum,Geranium sanguineum,807,bottom,,,BestMatch,9.41215,Exact,0,Geranium sanguineum,Geranium sanguineum L.,Geranium sanguineum,3FV5W,Geranium sanguineum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Geraniales|Geraniaceae|Geranium|Geranium sanguineum,
Luzula sylvatica,ok,luzula_?,Juncaceae,Luzula,sylvatica,Luzula sylvatica,993,bottom,,,BestMatch,9.41215,Exact,0,Luzula sylvatica,Luzula sylvatica (Huds.) Gaudin,Luzula sylvatica,3WHKH,Luzula sylvatica (Huds.) Gaudin,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Juncaceae|Luzula|Luzula sylvatica,
Sesleria caerulea,ok,sesleria_caerulea,Poaceae,Sesleria,caerulea,Sesleria caerulea,1010,bottom,,,BestMatch,9.41215,Exact,0,Sesleria caerulea,Sesleria caerulea (L.) Ard.,Sesleria caerulea,4WZRY,Sesleria caerulea (L.) Ard.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Sesleria|Sesleria caerulea,
Festuca valesiaca,ok,festuca_valesiaca,Poaceae,Festuca,valesiaca,Festuca valesiaca,1016,bottom,,,BestMatch,9.41215,Exact,0,Festuca valesiaca,Festuca valesiaca Schleich. ex Gaudin,Festuca valesiaca,6HTG5,Festuca valesiaca Schleich. ex Gaudin,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Festuca|Festuca valesiaca,
Sempervivum tectorum,ok,sempervivum_tectorum,Crassulaceae,Sempervivum,tectorum,Sempervivum tectorum,1041,bottom,,,BestMatch,9.41215,Exact,0,Sempervivum tectorum,Sempervivum tectorum L.,Sempervivum tectorum,4WJ47,Sempervivum tectorum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Sempervivoideae|Semperviveae|Sempervivum|Sempervivum tectorum,
Alchemilla conjuncta,ok,alchemilla_conjuncta,Rosaceae,Alchemilla,conjuncta,Alchemilla conjuncta,1124,bottom,,,BestMatch,9.41215,Exact,0,Alchemilla conjuncta,Alchemilla conjuncta Bab.,Alchemilla conjuncta,5TVVV,Alchemilla conjuncta Bab.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rosoideae|Potentilleae|Fragariinae|Alchemilla|Alchemilla conjuncta,
Festuca arundinacea,ok,festuca_arundinacea,Poaceae,Festuca,arundinacea,Festuca arundinacea,1181,bottom,,,BestMatch,9.41180,Exact,0,Festuca arundinacea,Festuca arundinacea Schreb.,Festuca arundinacea,6HRRJ,Lolium arundinaceum (Schreb.) Darbysh.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Lolium|Lolium arundinaceum,
Dianthus carthusianorum,non,dianthus_carthusianorum,Caryophyllaceae,Dianthus,carthusianorum,Dianthus carthusianorum,1184,bottom,,,BestMatch,9.41215,Exact,0,Dianthus carthusianorum,Dianthus carthusianorum L.,Dianthus carthusianorum,6CPYS,Dianthus carthusianorum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Caryophyllaceae|Caryophylleae|Caryophyllinae|Dianthus|Dianthus carthusianorum,
Sedum sexangulare,ok,sedum_sexangulare,Crassulaceae,Sedum,sexangulare,Sedum sexangulare,1195,bottom,,boutures ?,BestMatch,9.41215,Exact,0,Sedum sexangulare,Sedum sexangulare L.,Sedum sexangulare,4W9XL,Sedum sexangulare L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Sempervivoideae|Sedeae|Sedum|Sedum sexangulare,
Mercurialis perennis,ok,mercurialis_perennis,Euphorbiaceae,Mercurialis,perennis,Mercurialis perennis,1202,bottom,,,BestMatch,9.41215,Exact,0,Mercurialis perennis,Mercurialis perennis L.,Mercurialis perennis,3ZTK4,Mercurialis perennis L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Acalyphoideae|Acalypheae|Mercurialinae|Mercurialis|Mercurialis perennis,
Melica ciliata,ok,melica_ciliata,Poaceae,Melica,ciliata,Melica ciliata,1212,bottom,,,BestMatch,9.41215,Exact,0,Melica ciliata,Melica ciliata L.,Melica ciliata,72YQN,Melica ciliata L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Melica|Melica ciliata,
Festuca laevigata,non,festuca_laevigata,Poaceae,Festuca,laevigata,Festuca laevigata,1230,bottom,,,BestMatch,9.41215,Exact,0,Festuca laevigata,Festuca laevigata Gaudin,Festuca laevigata,6HSN6,Festuca laevigata Gaudin,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Festuca|Festuca laevigata,
Tussilago farfara,ok,tussilago_farfara,Compositae,Tussilago,farfara,Tussilago farfara,1240,bottom,,,BestMatch,9.41215,Exact,0,Tussilago farfara,Tussilago farfara L.,Tussilago farfara,59R86,Tussilago farfara L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Senecioneae|Tussilagininae|Tussilago|Tussilago farfara,
Stachys sylvatica,ok,stachys_sylvatica,Lamiaceae,Stachys,sylvatica,Stachys sylvatica,1250,bottom,,,BestMatch,9.41215,Exact,0,Stachys sylvatica,Stachys sylvatica L.,Stachys sylvatica,4ZFZC,Stachys sylvatica L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Lamioideae|Stachydeae|Stachys|Stachys sylvatica,
Hieracium villosum,ok,hieracium_villosum,Asteraceae,Hieracium,villosum,Hieracium villosum,1251,bottom,,,BestMatch,9.41215,Exact,0,Hieracium villosum,Hieracium villosum Jacq.,Hieracium villosum,6LWQH,Hieracium villosum Jacq.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Cichorioideae|Cichorieae|Hieraciinae|Hieracium|Hieracium villosum,
Festuca ovina,ok,festuca_ovina,Poaceae,Festuca,ovina,Festuca ovina,1262,bottom,,,BestMatch,9.41215,Exact,0,Festuca ovina,Festuca ovina L.,Festuca ovina,6HST6,Festuca ovina L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Festuca|Festuca ovina,
Hieracium murorum,ok,hieracium_murorum,Asteraceae,Hieracium,murorum,Hieracium murorum,1266,bottom,,,BestMatch,9.41215,Exact,0,Hieracium murorum,Hieracium murorum L.,Hieracium murorum,3LR8R,Hieracium murorum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Cichorioideae|Cichorieae|Hieraciinae|Hieracium|Hieracium murorum,
Koeleria vallesiana,non,koeleria_vallesiana,Poaceae,Koeleria,vallesiana,Koeleria vallesiana,1268,bottom,,,BestMatch,9.41215,Exact,0,Koeleria vallesiana,Koeleria vallesiana (Honck.) Gaudin,Koeleria vallesiana,8WW6K,Koeleria vallesiana (Honck.) Gaudin,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Koeleria|Koeleria vallesiana,
Primula veris,ok,primula_veris,Primulaceae,Primula,veris,Primula veris,1271,bottom,,,BestMatch,9.41215,Exact,0,Primula veris,Primula veris L.,Primula veris,4MDK3,Primula veris L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Primulaceae|Primuloideae|Primula|Primula veris,
Stipa pennata,ok,stipa_pennata,Poaceae,Stipa,pennata,Stipa pennata,1282,bottom,,,BestMatch,9.41215,Exact,0,Stipa pennata,Stipa pennata L.,Stipa pennata,6ZVPW,Stipa pennata L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Stipa|Stipa pennata,
Polygonum bistorta,ok,polygonum_bistorta,Polygonaceae,Polygonum,bistorta,Polygonum bistorta,1285,bottom,,,BestMatch,9.41180,Exact,0,Polygonum bistorta,Polygonum bistorta L.,Polygonum bistorta,4L95W,Bistorta officinalis subsp. officinalis,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Polygonaceae|Polygonoideae|Persicarieae|Bistorta|Bistorta officinalis|Bistorta officinalis officinalis,
